iter	Passed	Remaining
0	163	163221
1	167	83437
2	171	56903
3	175	43747
4	179	35714
5	183	30380
6	187	26640
7	192	23862
8	196	21630
9	200	19841
10	205	18443
11	209	17266
12	214	16270
13	218	15381
14	222	14599
15	227	14012
16	233	13502
17	239	13075
18	245	12699
19	251	12322
20	255	11934
21	261	11609
22	266	11325
23	271	11045
24	276	10773
25	281	10529
26	285	10287
27	290	10077
28	294	9854
29	298	9643
30	302	9464
31	307	9289
32	311	9116
33	314	8947
34	318	8794
35	322	8646
36	327	8521
37	332	8412
38	336	8298
39	340	8182
40	344	8066
41	348	7957
42	353	7857
43	357	7758
44	362	7683
45	367	7624
46	373	7573
47	381	7559
48	388	7544
49	395	7523
50	403	7500
51	411	7503
52	419	7492
53	424	7443
54	432	7433
55	438	7389
56	446	7391
57	455	7398
58	467	7460
59	477	7481
60	487	7499
61	493	7466
62	497	7400
63	501	7328
64	504	7259
65	508	7190
66	511	7125
67	515	7062
68	519	7007
69	523	6956
70	529	6923
71	534	6889
72	539	6846
73	543	6798
74	546	6744
75	550	6692
76	554	6641
77	557	6591
78	561	6543
79	565	6497
80	568	6455
81	572	6414
82	577	6376
83	580	6333
84	584	6294
85	588	6256
86	592	6213
87	596	6179
88	600	6143
89	604	6108
90	607	6071
91	612	6040
92	615	6002
93	619	5967
94	622	5934
95	626	5903
96	631	5876
97	635	5846
98	639	5817
99	642	5785
100	649	5785
101	661	5821
102	671	5844
103	674	5815
104	679	5790
105	686	5788
106	690	5763
107	694	5737
108	698	5708
109	702	5682
110	706	5658
111	710	5629
112	713	5601
113	717	5575
114	721	5549
115	725	5525
116	728	5501
117	732	5475
118	736	5454
119	740	5431
120	744	5406
121	748	5385
122	753	5373
123	758	5360
124	764	5348
125	769	5338
126	773	5317
127	777	5299
128	781	5278
129	785	5254
130	789	5235
131	792	5214
132	796	5193
133	800	5175
134	805	5159
135	809	5140
136	813	5122
137	817	5103
138	820	5083
139	825	5067
140	830	5057
141	834	5040
142	838	5024
143	842	5007
144	846	4989
145	849	4970
146	854	4955
147	858	4944
148	862	4927
149	866	4911
150	870	4896
151	874	4879
152	878	4862
153	882	4846
154	885	4829
155	889	4812
156	893	4798
157	897	4781
158	901	4770
159	905	4755
160	910	4743
161	914	4729
162	919	4719
163	924	4711
164	928	4696
165	932	4684
166	936	4671
167	941	4660
168	945	4649
169	949	4637
170	954	4627
171	959	4619
172	963	4606
173	967	4594
174	972	4585
175	977	4576
176	981	4564
177	985	4550
178	989	4537
179	993	4525
180	997	4511
181	1001	4500
182	1006	4491
183	1009	4477
184	1013	4465
185	1017	4453
186	1022	4443
187	1026	4432
188	1030	4423
189	1034	4411
190	1038	4400
191	1043	4390
192	1047	4378
193	1051	4368
194	1055	4357
195	1059	4344
196	1063	4332
197	1067	4324
198	1072	4316
199	1077	4308
200	1082	4302
201	1086	4293
202	1091	4285
203	1096	4279
204	1101	4271
205	1105	4262
206	1110	4252
207	1114	4242
208	1119	4235
209	1123	4225
210	1126	4213
211	1130	4201
212	1133	4189
213	1137	4177
214	1141	4166
215	1144	4153
216	1147	4141
217	1151	4128
218	1154	4117
219	1158	4107
220	1162	4096
221	1165	4086
222	1169	4074
223	1172	4062
224	1176	4050
225	1179	4038
